Fichier;Type;Cat;Average
Mojo Special Edition - The UK Indie Top 100 Records - Misc;UNKNOWN;ALL_TIME;1
Rolling Stone - Fifty Essential Recordings From The Fifties - 1990;ALBUM;DECADE;1,06
Mojo - 15 Amazing Brazilian Songs - 2014;SONG;THEME;1,067
Kids are all right;SONG;THEME;1,143
Le Choix - Blues - Les Racines - 2010;SONG;GENRE;1,257
Spin - The 100 Greatest EDM Anthems of the ’10s - 2015;SONG;GENRE;1,34
Spin - The 101 Best Kanye West-Produced Songs That Don't Feature Kanye - 2015;SONG;THEME;1,347
Rolling Stone - 100 French Rock Essential albums - 2010;ALBUM;ALL_TIME;1,37
Q - 75 Blues Greats The Best Blues Albums - 2005;ALBUM;GENRE;1,427
NME - The Beatles 1970 - 1980 - The Solo Years;SONG;THEME;1,429
Le Choix - Psychédélisme Moderne - 2010;SONG;GENRE;1,449
Le Choix - Blues - 50s et 60s - 2013;SONG;GENRE;1,45
Fluxblog - 2016;SONG;YEAR;1,484
Fluxblog - 2015;SONG;YEAR;1,492
Fluxblog - 1997 Songs - 2017;SONG;YEAR;1,522
Fluxblog - 1998 Songs - 2017;SONG;YEAR;1,525
The Guardian - A MODERN HISTORY OF MUSIC JAZZ - 2011;SONG;ALL_TIME;1,53
Fluxblog - 2009;SONG;YEAR;1,56
Fluxblog - 2005;SONG;YEAR;1,574
SaidTheGramaphone - Song - 2008;SONG;YEAR;1,58
SaidTheGramaphone - Song - 2015;SONG;YEAR;1,58
Fluxblog - 2017;SONG;YEAR;1,586
Fluxblog - 1999 Songs - 2017;SONG;YEAR;1,59
Q - 500 Greatest Lost Tracks - 2007;SONG;THEME;1,624
Spin - The 30 Best Nu-Metal Songs - 2017;SONG;GENRE;1,633
NME - Tracks Of The Week - 2015;SONG;YEAR;1,647
Le Choix - Chillwave - 2010;SONG;GENRE;1,65
Spin - The 21 Best Pop-Punk Choruses of the 21st Century - 2017;SONG;GENRE;1,667
NME - Tracks Of The Week - 2014;SONG;YEAR;1,694
